key,en,zh
item_desc_witches_mushroom,It is used to make potions. Spreads to nearest blocks. Radiates blue glow.,它用于制作药剂。会蔓延到附近砖块上。有蓝光。
item_desc_wood,It is used as a fuel.,它用于燃料。
item_desc_wood_pickaxe,"It is used for mining solid blocks, stone block, coal.",它用于开采砖块、石砖块和煤。
item_desc_workbench,It is used to craft various items. [Right Click] to use Workbench,它用于打造各种物品。[右击]使用工作台。
item_desc_yellow_mushroom,It is used to make potions.,它用于制作药剂。
item_desc_zartane_armor,The last king of darkness wore this armor. Heavy like all his sins and powerful like his dark soul. It's yours now but be fearful of becoming the next tyrant.,最后一位黑暗王穿的盔甲。盔甲沉，似他犯下的罪行；盔甲野蛮，如他的残暴性情。现在它是你的，小心成为下一个暴君。
item_diamond,Energy Crystal,能量水晶
item_diamond_axe,Chainsaw,电锯
item_diamond_chainmail,Obsidian Chestplate,黑曜石胸甲
item_diamond_greaves,Obsidian Boots,黑曜石靴
item_diamond_hammer,Pneumatic Hammer,气动锤
item_diamond_helmet,Obsidian Helmet,黑曜石头盔
item_diamond_pickaxe,Giga Drill,破天镐
item_diamond_shovel,Giga Drill,钻石铲
item_diamond_sword,Obsidian Sword,黑曜石剑
item_egg,Egg,蛋
item_eggplant,Corn,玉米
item_eggplant_seed,Corn Seed,玉米籽
item_empty_bottle,Empty Bottle,空瓶子
item_empty_bucket,Empty Bucket,空桶子
item_empty_cage,Empty Cage,空笼子
item_essence_live,Essence of Life,永生药剂
item_experience_potion,XP Potion,经验值药剂
item_exterminatus,Exterminatus,灭绝者
item_farework,Dynamite,炸药
item_feather_chicken,Feather Chicken,鸡毛
item_female_card,Female Character Card,女性角色卡
item_fire_iron_axe,Solidium Axe,超锢斧
item_fire_iron_bar,Solidium Ingot,超锢锭
item_fire_iron_chainmail,Solidium Chestplate,超锢胸甲
item_fire_iron_greaves,Solidium Boots,超锢靴
item_fire_iron_hammer,Solidium Hammer,超锢锤
item_fire_iron_helmet,Solidium Helmet,超锢头盔
item_fire_iron_ore,Solidium Ore,超锢矿
item_fire_iron_pickaxe,Solidium Pickaxe,超锢锄头
item_fire_iron_shovel,Solidium Shovel,超锢铲
item_fire_iron_sword,Solidium Sword,超锢剑
item_fire_zombie_card,Fire Zombie Card,火焰僵尸卡
item_flamethrower,Flamethrower,火焰喷射器
item_fried_egg,Fried Egg,煎蛋
item_fuel_canister,Fuel canister,燃料罐
item_gear,Metal Parts,金属零件
item_gelineya_seed,Geliney Seed,戈里尼籽
item_gilliweed,Gillweed,鱼腮草
item_gilliweed_seed,Gillweed Seeds,鱼腮草籽
item_gills_potion,Gills Potion,鱼腮药剂
item_gnome_alchemist_card,Alchemist Dwarf Card,医疗侏儒卡
item_gnome_glasses,Biker Glasses,骑手眼镜
item_gnome_miner_card,Miner Dwarf Card,矿工侏儒卡
item_gnome_warrior_card,Warrior Dwarf Card,武士侏儒卡
item_gold_axe,Golden Axe,金斧
item_gold_bar,Gold Ingot,金锭
item_gold_chainmail,Golden Chestplate,黄金胸甲
item_gold_greaves,Golden Boots,金靴
item_gold_hammer,Golden Hammer,金锤
item_gold_helmet,Golden Helmet,黄金头盔
item_gold_ore,Gold Ore,金矿
item_gold_pickaxe,Golden Pickaxe,金镐
item_gold_shovel,Golden Shovel,金铲
item_gold_sword,Golden Sword,金剑
item_great_healing_potion,Concentrated Healing Potion,浓缩治疗药剂
item_grindol_crown,Galaxy Imperator Crown,星系之冠
item_gromon,Sword of Universe,宇宙之剑
item_hamster_banner,Poster Hamster in Space,太空中的小仓鼠海报
item_healing_potion,Healing Potion,治疗药剂
item_hood,Night Cap,夜行帽
item_horn_gargoyle,Path Ring,道路之戒指
item_horse_mask,Horse Mask,马面具
item_info_broken,Broken,已完全损坏
item_info_chance_drop,Drop Chance: {0}%,出现几率：{0}%
item_info_crit,Critical Hit Chance,爆击机率
item_info_damage,Damage,伤害
item_info_defense,Defense,防御
item_info_durability,Durability,耐久度
item_info_per_sec,per sec,每秒
item_info_required_level,Required Level,需要等级
item_info_speed,Speed,速度
item_info_speed_average,average,一般
item_info_speed_high,high,较快
item_info_speed_low,low,较慢
item_info_speed_very_high,very high,很快
item_info_speed_very_low,very low,很慢
item_info_strength,Shot,发射力度
item_info_strength_average,average,中等
item_info_strength_heavy,heavy,强
item_info_strength_weak,week,弱
item_invisibility_potion,Invisibility Potion,隐形药剂
item_invisibility_powder,Slime Jellyfish,黏液水母
item_iron_axe,Iron Axe,铁斧
item_iron_bar,Iron Ingot,铁锭
item_iron_chainmail,Iron Chestplate,铁胸甲
item_iron_dragon_helmet,Dragon Helmet,龙盔
item_iron_greaves,Iron Boots,铁靴
item_iron_hammer,Iron Hammer,铁锤
item_iron_helmet,Iron Helmet,铁头盔
item_iron_ore,Iron Ore,铁矿
item_iron_pickaxe,Iron Pickaxe,铁镐
item_iron_pirate_body,Pirate Jacket,海盗甲
item_iron_pirate_helmet,Pirate Hat,海盗帽
item_iron_pirate_legs,Pirate Boots,海盗靴
item_iron_shovel,Iron Shovel,铁铲
item_iron_sword,Iron Sword,铁剑
item_latchkey,Lock pick,开锁丝
item_leather,Leather,皮
item_leather_chainmail,Leather Chestplate,皮制胸甲
item_leather_greaves,Leather Boots,皮靴
item_leather_helmet,Leather Helmet,皮头盔
item_leather_sheep,Leather Sheep,羊皮
item_letoch_seed,Letoch Seed,乐塔奇籽
item_levitation_potion,Levitation Potion,悬浮药剂
item_light_potion,lighting Potion,闪电药剂
item_luminary,Tyrantium,暴君之斧
item_mad_gnome_card,Mad Dwarf Card,疯狂侏儒卡
item_mage_body_black,Chicken Cape,鸡披风
item_mage_body_gray,White Shirt,白衬衣
item_mage_body_green,Strange's Jacket,陌生人之衣
item_mage_body_purple,Protective Suit,防护服
item_mage_head_black,Chicken Hood,鸡衣帽
item_mage_head_gray,Red Cap,红帽
item_mage_head_green,Stranger's Hat,陌生人之帽
item_mage_head_purple,Gas Mask,防毒面具
item_mage_legs_black,Chicken Pants,鸡裤子
item_mage_legs_gray,Pants,裤子
item_mage_legs_green,Stranger's Pants,陌生人之裤
item_mage_legs_purple,Protective Boot,防护靴
item_male_card,Male Character Card,男性角色卡
item_meat,Raw Meat,生肉
item_meat_fish,Raw Fish,生鱼
item_miniblaster,Mini Blaster,小型轰天枪
item_minicrossbow,Crossbow,十字弓
item_picker,Hoe,锄头
item_prot_crystal,Defense Crystal,防御水晶
item_proto_chainmail,Atomic Chestplate,原子胸甲
item_proto_greaves,Atomic Boots,原子靴
item_proto_helmet,Atomic Helmet,原子头盔
item_pumpkin,Cabbage,包菜
item_pumpkin_seed,Cabbage Seed,卷心菜籽
item_resin,Resin,树脂
item_revolver,Revolver,左轮手枪
item_roast,Fried Meat,烤肉
item_roast_fish,Fried Fish,烤鱼
item_rocket_banner,Poster Interstellar,星际海报
item_rose_seed,Rose Seed,玫瑰籽
item_rude_mace,Rude Mace,凶蛮钉头锤
item_scottish_jacket,Cosmo Chestplate,宇宙胸甲
item_scottish_skirt,Cosmo Boots,宇宙靴
item_scroll_teleport,Teleportation Tab,传送药片
item_scythe,Scythe of Death,死亡之镰
item_shears,Shears,剪子
item_shootgun,Shotgun,散弹枪
item_skeleton_archer_card,Skeleton Archer Card,骷髅弓箭手卡
item_space_marine_boots,Space Force Boots,太空舰队靴
item_space_marine_chestplate,Space Force Chestplate,太空舰队胸甲
item_space_marine_helmet,Space Force Helmet,太空舰队头盔
item_speed_potion,Speed Potion,速度药剂
item_spider_card,Spider Card,蜘蛛卡
item_stick_shadow,Shadow Candle,影子蜡烛
item_sticky_dynamite,Sticky Dynamite,粘性炸弹
item_stone_axe,Stone Axe,石斧
item_stone_hammer,Stone Hammer,石锤
item_stone_pickaxe,Stone Pickaxe,石镐
item_stone_shovel,Stone Shovel,石铲
item_stone_sword,Cudgel,棒子
item_sword_depths,Light Sword,光剑
item_tiny_spider_card,Small Spider Card,小蜘蛛卡
item_trader_jacket,Pajamas Jacket,睡衣
item_trader_pants,Pajamas Pants,睡裤
item_treasure_key,Key Card,钥匙卡
item_tulpan_seed,Tulip Seed,郁金香籽
item_wood_pickaxe,Wooden Pickaxe,木镐
item_wooden_chainmail,Wooden Chestplate,木胸甲
item_wooden_greaves,Wooden Boots,木靴
item_wooden_helmet,Wooden Helmet,木头盔
item_zartane_chainmail,Tyrant Chestplate,独裁者之胸甲
item_zartane_greaves,Tyrant Boots,独裁者之靴
item_zartane_helmet,Tyrant Helmet,独裁者之头盔
item_zombie_card,Zombie Card,僵尸卡
language,language,语言
lighthouse_lamp,Lamp of Lighthouse,灯塔之灯
mob_armored_zombie,Armored Zombie,盔甲僵尸
mob_banny,Banny,乖怪兔
mob_big_dog,F-Dog Mod. B-2,F-Dog Mod. B-2
mob_big_spider,Big Insect,巨虫
mob_bluetail,Globunny,乖怪兔
mob_boar,Boar,野猪
mob_chicken,Chicken,鸡
mob_coyote,Coyote,土狼
mob_demon,Exile Demon,被放逐魔鬼
mob_evil_big_spider,Angry Big Insect,愤怒之巨虫
mob_evil_tiny_spider,Angry Small Insect,愤怒之小虫
mob_fed_big_spider,Fed Big Insect,饱食之巨虫
mob_fed_spider,Fed Insect,饱食之虫
mob_fed_tiny_spider,Fed Small Insect,饱食之小虫
mob_fenic,Fenik,狐
mob_fire_robot,Fire Robot,火焰机器人
mob_fire_zombie,Shadow Zombie,影子僵尸
mob_fireblob,Fire Insect,火焰虫
mob_fish,Fish,鱼
mob_gargoule,Ancient Guard,古代守卫
mob_gnome_alchemist,Alchemist Goblin,医疗师哥布林
mob_gnome_miner,Miner Goblin,矿工哥布林
mob_gnome_warrior,Warrior Goblin,武士哥布林
mob_hare,Rabbit,兔
mob_mad_gnome,Zealot,炸弹狂人
mob_mech_golem,Mech Golem,机器人
mob_mech_guard,Mech Guard,机器人护卫
mob_meduse,Medusa,美杜莎
mob_npc_dwarf,Seller,商贩
mob_npc_robot_0,Mech Robot,机械机器人
mob_npc_robot_1,Med Robot,医务机器人
mob_npc_trader,Clementine,橘子
mob_purple,Purple Panda,紫熊猫
mob_sheep,Sheep,羊
mob_skeleton_archer,Skeleton Archer,骷髅弓箭手
mob_spider,Fed Small Insect,饱食之小虫
mob_spit_zombie,Spit Zombie,口水僵尸
mob_stone_golem,Mech Miner Robot,矿工机器人
mob_tiny_spider,Small Insect,小虫
mob_zombie,Zombie,僵尸
mod_blunt,Blunt,钝器
mod_set_anaptanium_armor,Anaptanium Armor,锐钛盔甲
mod_set_bronze_armor,Bronze Armor,铜甲
mod_set_diamond_armor,Obsidian Armor,黑曜石铠甲
mod_set_fire_armor,Solidium Armor,超锢盔甲
mod_set_gold_armor,Golden Armor,金甲
mod_set_iron_armor,Iron Armor,铁甲
mod_set_leather_armor,Leather Armor,皮甲
mod_set_proto_armor,Atomic Armor,原子铠甲
mod_set_space_force_armor,Space Force Armor,太空舰队铠甲
mod_set_zartane_armor,Tyrant Armor,独裁者提蓝特之铠甲
mod_skillful,Cunning,高品质
more games,more games,更多游戏
per_second,per sec.,每秒
plate_designer_black,Black Plate,黑版
plate_designer_blue,Blue Plate,蓝板
plate_designer_green,Green Plate,绿板
plate_designer_red,Red Plate,红板
plate_designer_white,White Plate,白板
plate_designer_yellow,Yellow Plate,黄板
quest_8_level,Shadow Candle,影子蜡烛
quest_8_level_desc,"Reach level 8 and get the Shadow Candle, and The Book of Memories Part 2. They will guide you to other bosses.",达到8级获取影子蜡烛和记忆之书第二部分，他们会指引你找到其他boss怪物。
quest_8_level_task,• Reach level 8,• 达到8级
quest_alchemist,Alchemy,治疗
quest_alchemist_desc,You might need some potions in a long run. Healing Potion can restore health while Antidote can cure poisoning. You need an Alchemist Table to produce potions. You can also find potions in treasure chests located in dungeons.,以后你会用到一些药剂。治疗药剂可以回复生命值；解毒药剂可以治疗中毒。你需要一个医疗台来制作药剂。你还可以在地下城的宝箱中找到药剂。
quest_alchemist_task,"• craft an Antidote
• craft a Healing Potion","• 制作一支解毒药剂
• 制作一支治疗药剂"
quest_book_shadows,Antient Computer,远古计算机
quest_book_shadows_desc,The Antient Computer lies hidden deep beneath the land. It found its resting place at one of the abandoned laboratories. Search for it. With its guidance you can find dreadful creatures and fight them!,远古计算机被埋藏在很深的地下。它在一个被遗弃的实验室中。去搜寻它。在其引导下，你会遇到可怕的生物，与它们战斗！
quest_book_shadows_task,• find The Antient Computer,• 找到远古计算机
quest_first_night,Survive the first night,存活第一夜
quest_first_night_desc,"This game has real time day and night shift. In daytime sun is shining and creatures are crawling all over the place. But should the night befall, zombies rise to the land to hunt you. You will do well to find cover for the night. Use torches to light up things a bit.",本游戏有实时日夜变化。白天阳光照耀大地，万物在四处忙碌。但是一到了晚上，僵尸会从地下爬出来捕捉你。最好晚上找到一个庇护所。用火把为周围提供一些照明。
quest_first_night_task,• survive the night,• 存活一夜
quest_gardener,Gardening,种植
quest_gardener_desc,"You can grow trees, vegetables, and flowers. You need a hoe, a watering can, seeds or seedlings for that.

First, till the dirt with a hoe. Then, fill the watering can with water to water the farmland. Finally, plant seeds or seedlings on the farmland. Don’t forget to water it once in a while to ensure it grows fast.","你可以种树、蔬菜和鲜花。为此，你需要有锄头、浇水壶、种子或树苗。

然后，给浇水壶装满水来灌溉农田。最后，在农田播下种子，或者种下小树苗。别忘了，要不时地浇水，这样它才长地快。"
quest_gardener_task,"• grow several flowers
• grow one tree",• 在一棵树上种几朵花。
quest_health_and_protection,Health and armor,生命和盔甲
quest_health_and_protection_desc,"Your character has a health bar. Once it drops to zero you’ll die. You can restore health by eating meat or drinking healing potions. Fried meat restores twice as health as raw meat.

Your character needs armor for protection. It decreases the amount of damage your character gets from monsters. Wearing better armor provides better protection. Collecting the full set of armor provides the best protection. At first you’ll do well with leather armor.","你的角色有生命条。降至零，角色死亡。你可以吃肉或喝生命药剂恢复生命值。烤肉的治疗效果是生肉的一倍。

你的角色需要穿盔甲来获得保护。它可以减少角色被怪兽袭击时的受损伤度。越高级的盔甲的防护能力越好。收集的一整套装的盔甲具有最佳防护力。开始，穿皮甲即可满足你的需要。"
quest_health_and_protection_task,"• fry several pieces of meat
• craft a full set of leather armor","• 烤几片肉，
• 制作出一整套皮甲"
quest_kill_gargoyle,Laser Sword,激光剑
quest_kill_gargoyle_desc,"There’s an abandoned lab somewhere in the land. Deep within it's ancient metal guard. Place a special battery in it and the robot comes to life.

Slay this guard to obtain its ancient Path Ring. It will guide you to other bosses.","这里某个地方有一个被遗弃的实验室。在实验室深处有一个古代机器人守卫。将特制的电池放入其中，机器人就会启动。

杀死这个守卫，获得其古老的“道路之戒指”。戒指会指引你去别的超级怪物那里。"
quest_kill_gargoyle_task,• kill Antient Guard,• 杀死古代守卫
quest_kill_shadows,Shadow,影子
quest_kill_shadows_desc,Use Shadow Candle to find and kill Shadow Bosses,使用影子蜡烛找到影子boss并消灭他们
quest_kill_shadows_task,"• Kill Shadow Mosquiton

• Kill Shadow Tyrant

• Kill Shadow Imperator","• 消灭影子喽啰

• 消灭影子暴君

• 消灭影子最高统治者"
quest_level_up,Leveling up,正在升级
quest_level_up_desc,"When your character gains a level, the health will increase, and your character will have new possibilities. For instance, you need to be level 2 to use bronze equipment.

You need experience points to raise your level. You can get experience points by killing monsters. Grab some armor, a sword and off you go to the dungeons! Don’t forget that you lose some of your experience points when dying. Try not to die too often.","当你的角色升了一级，生命点数会增加，你的角色有新机会。例如，你要达到二级才可以使用铜装备。

你需要经验点来升级。可以通过杀怪兽获得经验点。穿上盔甲、拿起剑，前往地下城吧！别忘了，角色死亡会减少一些经验点。减少角色死亡次数。"
quest_level_up_task,• reach level two,• 升到2级
quest_metall_items,Bronze equipment,铜器装备
quest_metall_items_desc,"Bronze armor offers better protection than the leather one and has better durability. The same goes for the rest of the bronze equipment. A bronze pick axe can mine even more blocks than a  wooden one. It can also mine iron ore.

The quality of equipment depends on quality of materials. The best material is solidium. You need anvil to craft bronze items. You can craft a anvil using the workbench.","铜盔甲提供了比皮盔甲更好的保护和耐久度。铜镐比木镐开采更多砖块。它还可以开采铁矿石。装备的质量取决于制材。

最好的材料是超锢矿。你需要铁砧打造铜物品。你可以用工作台建造铁砧。"
quest_metall_items_task,"• craft bronze sword
• craft bronze pickaxe
• craft the full set of bronze armor","打造铜剑
• 打造铜锄子
• 打造出一整套铜盔甲"
quest_mine_ores,Smelting ore,冶炼矿石
quest_mine_ores_desc,"You can run across ore and energy crystals deep beneath the land. Use ore to craft various items and equipment. To use it, you first need to smelt it in a furnace. You can use wood or coal as fuel.

Venture deep under the surface of the planet to find bronze ore. Depending on how deep down you go, you can encounter valuable resources. You need enhanced tools to mine them. You can craft a furnace using the workbench.","在地下深处，你可能会遇到矿石和能量水晶。用矿石打造各种物品和装备。先需要在熔炉中炼矿石，然后才能使用。你可以用木头或煤作为燃料。

冒险深入地下找到铜矿。根据你下到的地下深度不同，可能遇上珍贵资源。你需要强化后的工具来开采它们。你可以用工作台建造一个熔炉。"
quest_mine_ores_task,• smelt a few ingots,• 炼几块锭。
quest_pet,Pet,宠物
quest_pet_desc,"You can have a pet. You need a cage you can craft with anvil.

Catch a chicken and place it in the cage and craft a house for it using a workbench. You can place a chickenhouse.",你可以养宠物。你需要一个笼子。你可以用铁砧打造鸟笼。将抓来的鸡放入笼中，然后用工作台打造一个鸡舍。你可以放置鸡舍。
quest_pet_task,• place a Chickenhouse,• 放置鸡舍
quest_planet_core,The Light in the Darkness,黑暗中的光芒
quest_planet_core_desc,Explore the world and find the old lighthouse. The old merchant who lives there possesses ancient powerful artifacts that will help you survive on this planet.,探索世界，找到古代灯塔。居住在那里的老商人拥有古老、强大器物，可以帮助你在这个星球上生存。
quest_planet_core_task,• Find a Lighthouse,• 找到灯塔
quest_ranged_attack,Firearms,武器
quest_ranged_attack_desc,It’s not necessary to engage in close combat to kill a monster. You can use a crossbow or a revolver to shoot from afar. Craft the crossbow and a few bolts on the workbench. Place bolts to the Ammo Slot.,要将怪物杀死，不一定要近距离战斗。你可以用十字弓或左轮手枪远距离射击。在工作台上制作一把十字弓和一些弓箭。将十字弓弓箭放在弹药槽。
quest_ranged_attack_task,• kill a few animals or monsters with a crossbow,• 用十字弓杀死一些动物或怪物。
quest_registration_rate,Registered Hero,已注册的角色玩家
quest_registration_rate_desc,"Only the registered player can become the greatest warrior and the best survivor. If you want to save this planet forever online, get special bonuses, and share you awesome screenshots, you know what you have to do...",只有已注册用户才能成为终极武士和最佳生存者。如果你想永远在线拯救这个星球，获得特别奖励，以及分享你精彩截屏，你当然知道怎么做。
quest_registration_rate_task,• Registrate in ID.Net,• 在ID.Net注册
quest_shop,3D Printer 3000,3D打印机（3000型）
quest_shop_desc,Slay a King Mosquiton and you get 3D Printer 3000. You can swap resources to coal and ore there.,杀死莫斯奎登王，可以得到一台3D打印机 3000型。你可以在那用资源换取煤和矿石。
quest_shop_exhange,Space Blaster,太空轰天枪
quest_shop_exhange_desc,Slay a mighty Tyrant and claim Space Blaster.,杀死独裁者提蓝特，获得太空轰天枪。
quest_shop_exhange_task,• kill Tyrant,• 杀死独裁者提蓝特
quest_shop_task,• kill King Mosquiton,• 杀死莫斯奎登王
quest_spawn_point,Bed and spawning point,床和再生地点
quest_spawn_point_desc,Place a bed in your house and Right Click to activate it. Now you will spawn here if you die. But don’t get overexcited – death causes loss of some experience points.,在屋内放一张床，右击启用它。如果角色死亡，会在这里重生。但是别高兴地太早 — 角色死亡会丢失经验值。
quest_spawn_point_task,• place and activate a bed,• 放置并启用床
quest_sword_depths,Sword of Universe,宇宙之剑
quest_sword_depths_desc,The most powerful sword in the galaxy belongs to the great conqueror of the planets and stars. Destroy Imperator Finalium and take possession of this mighty artifact.,宇宙中威力最大的剑，宇宙之王所拥有之剑。打败费纳利姆大将军，获得这个强大的器物。
quest_sword_depths_task,• Kill Imperator Finalium,• 杀死费纳利姆大将军
tile_designer_black,Black Block,黑方块
tile_designer_blue,Blue Block,蓝块
tile_designer_cage,Cage Block,笼子座
tile_designer_green,Green Block,绿色块
tile_designer_red,Red Block,红色块
tile_designer_white,White Block,白块
tile_designer_yellow,Yellow Block,黄色块
tutor_craft_pickaxe,Open the workbench with <font color='#99D4FF'>[Right Click]</font> and craft a pickaxe.,<font color='#99D4FF'>[右击]</font>打开工作台，然后打造一把镐。
tutor_craft_pickaxe_done,"Be sure to read item description 
to learn its use.",一定要看看物品说明了解用途。
tutor_craft_workbench,Open an inventory and create a workbench.,打开物品栏，建造一个工作台。
tutor_craft_workbench_done,"You can use the workbench 
to craft various items.",你可以用工作台打造各种物品。
tutor_destroy_block,"Mine a block with <font color='#99D4FF'>[Left Click]</font> 
Hold it until the block breaks.","<font color='#99D4FF'>[左击]</font>可以开采砖块。
按住不放，待砖块碎裂。"
tutor_destroy_block_done,"Some blocks can be mined 
with pickaxe only.",有些砖块只可用镐来开采。
tutor_jump,"I can jump if you press <font color='#99D4FF'>[Space]</font> 
The longer you hold it the higher I jump.","如果你按 <font color='#99D4FF'>[空格键]</font> 
我就会跳跃。按住时间越久，跳得越高。"
tutor_jump_done,I like jumping! Again!,我喜欢跳跃！再来一次！
tutor_kill_hare,"Get some sheep’s fur. 
To attack the sheep <font color='#99D4FF'>[Left Click]</font> on it or to empty space toward it. 
Be sure to get cudgel with you.","获得一些羊皮。 
 <font color='#99D4FF'>[左击]</font>攻击羊，或在空处点击朝羊的地方运动。 
一定带上棒子。"
tutor_kill_hare_done,"Well done! 
This concludes our tutorial.","好样的！ 
本次教程到此结束。"
tutor_left_right_move,Try moving me with <font color='#99D4FF'>[A and D]</font>,要让我移动，可以 <font color='#99D4FF'>[A and D]</font>
tutor_left_right_move_done,I survived the crash! Unknown planet...,飞船坠落中我幸存下来！一个未知的星球
tutor_mining_stone,"Crawl into a dungeon and mine some cobblestone. 
Pickaxe is useless to dig dirt. 
Be sure to get torches and ladders with you.","下到地下城，采一些石材。 
镐挖不了土。 
一定带上火把和梯子。"
tutor_mining_stone_done,"Use cobblestone to craft 
stone tools and weapons.",用石材打造石器工具和武器。
tutor_mining_tree,"Mine some wood 
from nearby trees.",从附近树上采一些木头。
tutor_mining_tree_done,"Phew, that should do for a while.",呼哧，这可要挺长时间。
tutor_place_block,"Place a block of an empty space with <font color='#99D4FF'>[Left Click]</font> 
If grass is there, cut it."," <font color='#99D4FF'>[左击]</font> 
将一个砖块放在空地上。如地上有草，会被清除。"
tutor_place_block_done,"Well done! Now you can try 
building a small house.","好样的！现在， 
你要来试着造一个小房子。"
tutor_place_workbench,"Select the workbench on upper panel 
and place it on any block.","从上面板中选择工作台， 
然后放在任何砖块上。"
tutor_place_workbench_done,Now you can use it.,好了，现在可以使用它了。
tutor_repair_pickaxe,Your pickaxe is damaged. You should repair it.,你的镐损坏了。你应当修复它。
tutor_repair_pickaxe_done,"At some point you’ll need to repair your 
equipment, weapons and armor as their durability drops.",在某一时候，你需要修复装备、武器和盔甲，因为它们的耐久度值会下降。
tutor_save,Save the planet.,保存星球信息。
tutor_save_done,"Be sure to save planet 
before quitting the game.",退出游戏前，请务必保存星球信息。
ui_background_generate_planet,GENERATE PLANET...,生成星球
ui_background_generate_planet_hint,(this operation will take a few minutes),（这个操作要花几分钟时间）
ui_background_loading,LOADING...,正在加载
ui_background_saving,SAVING...,正在保存
ui_btn_burn_all,BURN ALL,烧掉所有
ui_btn_cancel,CANCEL,取消
ui_btn_close,CLOSE,关闭
ui_btn_copy_text,COPY TEXT,复制文本
ui_btn_craft_buy,BUY,购买
ui_btn_craft_create,CRAFT,打造
ui_btn_craft_lack_gold,"NOT ENOUGH
GOLD","缺少
金子"
ui_btn_craft_lack_resources,"NOT ENOUGH
MATERIALS","缺少
材料"
ui_btn_craft_required_alchemical,"REQUIRED:
ALCHEM. TABLE","必须品：
医疗台"
ui_btn_craft_required_anvil,"REQUIRED:
ANVIL","必须品：
铁砧"
ui_btn_craft_required_techno_alchemical,"REQUIRED:
MED STATION","必须品：
医务站"
ui_btn_craft_required_techno_workbench,"REQUIRED:
TECHNO WORKBENCH","必须品：
技术工作台"
ui_btn_craft_required_workbench,"REQUIRED:
WORKBENCH","必须品：
工作台"
ui_btn_exchange,EXCHANGE,交换
ui_btn_get,GET IT NOW,马上获取
ui_btn_login,LOGIN,登录
ui_btn_need_battery,NEED BATTERY,需要电池
ui_btn_ok,CLOSE,关闭
ui_btn_open_profile,"VIEW SCREENSHOTS
FROM PUBLIC","预览
截图"
ui_btn_repair_all,REPAIR ALL,修复所有
ui_btn_resume,RESUME,继续
ui_btn_revive,REVIVE,复活
ui_btn_save,SAVE,保存
ui_btn_save_to_profile,SHARE SCREENSHOT,分享截图
ui_btn_switch,"SWITCH TO
ONLINE SAVE","切换至
在线保存"
ui_btn_take_all,TAKE ALL,取得所有
ui_btn_turn_on,ACTIVATE,启用
ui_confirm_recreate,CONTINUE,继续
ui_confirm_recreate_msg,"Are you sure you want to recreate the planet?
All your the buildings will be lost.","确定希望重造星球吗？
所有建筑都将丢失。"
ui_hint_lack_resources,Not enough materials.,缺少材料。
ui_hint_not_char_card,This slot is for character cards only.,此槽中只能放角色卡。
ui_hint_not_enough_space,Not enough space.,缺少空间。
ui_hint_not_fueld,This item can’t be used as fuel.,此物品不能用作燃料。
ui_hint_not_in_this_slot,You can't place item in this slot.,你无法将物品放入这个槽中。
ui_hint_not_ingredient,You can’t melt this item.,你无法熔化此物品。
ui_hint_not_mob_card,This slot is for creature cards only.,此槽中只能放生物卡。
ui_hint_only_body_armor,This slot is for chestplate only,此槽中只能放胸甲
ui_hint_only_body_clothing,This slot is for clothes/body armor only,此槽中只能放衣物/盔甲
ui_hint_only_head_armor,This slot is for helmets only,此槽中只能放头盔
ui_hint_only_head_clothing,This slot is for hats/helmets only,此槽中只能放帽/头盔
ui_hint_only_legs_armor,This slot is for leg armor only,此槽中只能放腿甲
ui_hint_only_legs_clothing,This slot is for pants/leg armor only,此槽中只能放短裤/腿甲
ui_hint_only_projectiles,This slot is for ammo only.,此槽中只能放弹药。
ui_hint_required_for_repairs,You need '{0}' for repairs.,你需要‘{0}’进行修复。
ui_hint_short_level,Item level is higher than yours.,物品需要等级高于你的等级
ui_item_slot_armor,Armor slot,盔甲槽
ui_item_slot_armor_desc,"Armor in this slot will change your appearance, grant bonuses and protection.",此槽中的盔甲会改变角色的外表、额外奖励及防御。
ui_item_slot_clothing,Clothes slot,衣物槽
ui_item_slot_clothing_desc,Armor in this slot will change your appearance only. It will not grant any bonuses or protection.,槽中的衣物仅会改变角色的外表。
ui_item_slot_projectiles,Ammo slot,弹药槽
ui_item_slot_projectiles_desc,Firearm ammo is stocked here.,武器弹药存放在这里。
ui_lbl_account,GET THE ACCOUNT,获得账号
ui_lbl_achiev_unlocked,ACHIEVEMENT UNLOCKED,成就已解锁
ui_lbl_achievs,ACHIEVEMENTS,成就
ui_lbl_autosaving,"Auto-saving, please wait",正在自动保存，请稍等
ui_lbl_book_memories,THE BOOK OF MEMORIES,回忆之书
ui_lbl_book_shadows,ANTIENT COMPUTER,远古计算机
ui_lbl_book_traveler,BOOK OF TRAVELS,旅行之书
ui_lbl_book_traveler_reward,"Complete all the quests to get your personal Guard, Crown and Throne!",完成所有任务，获得个人守卫、皇冠和宝座！
ui_lbl_buff_time_minutes,{0} min,{0}分
ui_lbl_buff_time_seconds,{0} sec,{0}秒
ui_lbl_burner,BURNER,燃烧炉
ui_lbl_chest,CHEST,箱子
ui_lbl_cloud,ONLINE SAVE,在线保存
ui_lbl_completed,Completed,已完成
ui_lbl_craft_repair,REPAIR ITEMS,修复物品
ui_lbl_daily_bonus,DAILY REWARDS,每日奖励
ui_lbl_daily_bonus_message_1,Your Reward for {0} day of visiting the game!,这是你共{0}天玩游戏的奖励！
ui_lbl_daily_bonus_message_2,Come tomorrow to get another Reward!,明天来领奖励！
